userId,regTime,testVariant,primaryAccount,regPage,device,app,browser,browserVersion,screenHeight,screenWidth,authMethod,locationStep,addedCity,locationCountry,addedGuestCount,addedBudget,invitedCollaborator,addedNames,finOnb,searchCTA,venEnq,venSearch,venViews,sessions
0,1612810000000,0,TRUE,/,Android,TRUE,Chrome,77,823,412,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,6
1,1612110000000,1,TRUE,/,Android,TRUE,Chrome,76,732,412,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,2
2,1612480000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,google.com,completed,0,,TRUE,FALSE,TRUE,TRUE,1,1,1,14,16,1
3,1612680000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,4,4,3
4,1613010000000,0,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
5,1611960000000,0,TRUE,/,iPad,TRUE,Mobile Safari,,1024,768,password,completed,1,Scotland,TRUE,TRUE,FALSE,TRUE,1,1,0,3,0,1
6,1612180000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,facebook.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,1
7,1612200000000,0,TRUE,/,Android,TRUE,Chrome,76,869,412,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
8,1612550000000,0,TRUE,/,Android,TRUE,Chrome,76,780,360,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
9,1612980000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,1,Scotland,TRUE,TRUE,TRUE,TRUE,1,1,1,2,1,2
10,1612290000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,0,6,7,6
11,1612530000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,3
12,1612570000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
13,1612380000000,1,TRUE,/,Android,FALSE,Chrome,76,640,360,facebook.com,notSeen,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,3
14,1612720000000,1,TRUE,/,Android,TRUE,Chrome,76,846,412,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
15,1612040000000,0,TRUE,/,Android,TRUE,Chrome,77,780,360,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,7
16,1612190000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,3
17,1612210000000,0,TRUE,/,iPad,TRUE,Mobile Safari,,1024,768,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,2,1,9
18,1612470000000,1,TRUE,/,Android,TRUE,Chrome,76,760,360,facebook.com,completed,1,Wales,FALSE,TRUE,FALSE,TRUE,1,1,0,1,0,1
19,1612990000000,2,TRUE,/,Android,TRUE,Chrome,77,747,360,google.com,notSeen,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1
20,1612220000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,Wales,FALSE,FALSE,FALSE,TRUE,1,1,0,6,6,2
21,1612690000000,0,TRUE,/,Android,TRUE,Chrome,77,732,412,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,1,0,4,2,1
22,1612890000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
23,1611960000000,0,TRUE,/,Android,TRUE,Chrome,76,740,360,google.com,completed,1,England,TRUE,FALSE,TRUE,TRUE,1,1,0,3,1,1
24,1612040000000,0,TRUE,/,Android,TRUE,Chrome,76,640,360,google.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,3,0,1
25,1612080000000,0,TRUE,/,Android,TRUE,Chrome,76,869,412,google.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,1,0,1,1,2
26,1612300000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,google.com,completed,0,,FALSE,TRUE,TRUE,TRUE,1,1,1,16,12,3
27,1612360000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,568,320,google.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
28,1612370000000,0,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,1,0,2,0,1
29,1612790000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,2,2,14,3
30,1612900000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,FALSE,FALSE,TRUE,TRUE,1,0,0,0,0,1
31,1612970000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,2,0,1
32,1613080000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
33,1612380000000,0,TRUE,/,Android,TRUE,Chrome,76,747,360,password,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,3
34,1612470000000,1,TRUE,/,Android,TRUE,Chrome,76,780,360,facebook.com,completed,0,,FALSE,FALSE,TRUE,TRUE,1,0,0,0,0,3
35,1612370000000,0,FALSE,/,Android,TRUE,Chrome,77,823,412,google.com,skipped,0,,FALSE,FALSE,FALSE,FALSE,1,1,0,1,4,4
36,1612960000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,2,8,5,1
37,1612370000000,1,TRUE,/,Android,TRUE,Chrome,71,740,360,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,2
38,1612370000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,skipped,0,,FALSE,FALSE,TRUE,TRUE,1,0,0,2,0,4
39,1612080000000,0,FALSE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,2,1,12
40,1612170000000,1,TRUE,/,Android,TRUE,Chrome,76,869,412,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,2
41,1612300000000,0,TRUE,/,Android,TRUE,Chrome,76,869,412,google.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,4,1,3
42,1612430000000,1,TRUE,/,Android,TRUE,Chrome,77,640,360,google.com,completed,1,England,FALSE,TRUE,TRUE,TRUE,1,0,0,0,0,1
43,1613060000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,4
44,1612560000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,1
45,1612630000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,568,320,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
46,1612650000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,1
47,1612560000000,2,TRUE,/,Android,TRUE,Chrome,77,640,360,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
48,1611940000000,0,TRUE,/,Android,TRUE,Chrome,76,768,1024,google.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,3
49,1612970000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,1
50,1612290000000,2,TRUE,/,Android,TRUE,Chrome,77,640,360,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,1,0,3,0,3
51,1612400000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,FALSE,FALSE,TRUE,TRUE,1,0,0,0,0,3
52,1612470000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,2,1,3
53,1612660000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,google.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,6
54,1612520000000,0,TRUE,/,Android,TRUE,Chrome,77,732,412,google.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,1,0,2,0,2
55,1612630000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,2
56,1612440000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
57,1612810000000,0,TRUE,/,Android,TRUE,Chrome,77,740,360,password,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,3,1,1
58,1612990000000,0,TRUE,/,Android,TRUE,Chrome,77,771,360,google.com,skipped,0,,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,1
59,1612010000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,13,11,17
60,1612380000000,0,TRUE,/,Android,TRUE,Chrome,77,869,412,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,1,0,8,7,12
61,1612730000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,2
62,1612780000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,TRUE,FALSE,FALSE,TRUE,1,1,0,1,0,2
63,1612880000000,1,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,1,Scotland,TRUE,FALSE,FALSE,TRUE,1,1,2,12,12,8
64,1613070000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,0,2,9,6,1
65,1612020000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,Wales,TRUE,TRUE,TRUE,TRUE,1,1,4,15,19,11
66,1612480000000,1,TRUE,/,Android,TRUE,Chrome,77,640,360,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,7,4,5,2
67,1612620000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,0,17,12,13
68,1613070000000,1,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,6,5,1
69,1611950000000,0,TRUE,/,Android,TRUE,Chrome,76,869,412,password,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,11,7,2
70,1612130000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,2,1,3
71,1612400000000,2,TRUE,/,Android,TRUE,Chrome,76,747,360,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,2
72,1612970000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,18,22,23,10
73,1612990000000,1,TRUE,/,Android,TRUE,Chrome,77,786,393,password,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,1,0,6
74,1611960000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,skipped,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,3
222,1612020000000,0,TRUE,/,Android,TRUE,Chrome,77,918,424,google.com,completed,0,,FALSE,FALSE,TRUE,TRUE,1,1,0,3,2,3
223,1612450000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,1,4,14,5
224,1612530000000,1,TRUE,/,Android,TRUE,Chrome,74,760,360,google.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,2
225,1612560000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,1,0,4,5,1
226,1612620000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,TRUE,FALSE,FALSE,TRUE,1,1,4,4,3,7
227,1612830000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,FALSE,FALSE,TRUE,TRUE,1,1,0,3,5,1
228,1612870000000,2,FALSE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,notSeen,0,,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0,6
229,1613000000000,0,TRUE,/,Android,TRUE,Chrome,77,786,393,google.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,2,7,3,3
230,1612300000000,2,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,skipped,0,,FALSE,FALSE,FALSE,TRUE,1,1,0,3,1,3
231,1612450000000,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,England,TRUE,TRUE,TRUE,TRUE,1,0,0,1,0,1
232,1612530000000,1,FALSE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,4
233,1612980000000,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,2,2,1
